ons,year,disc_pct
E07000095,2023-24,89.4134477825465
E07000095,2024-25,90.065334358186
E07000095,2025-26,86.87062937062937
E07000095,2026-27,87.07098965879003
E07000096,2022-23,100.35729396831367
E07000096,2023-24,99.65002762939768
E07000096,2024-25,101.76568342334856
E07000096,2025-26,96.66628523477134
E07000096,2026-27,97.81066913351835
E07000098,2022-23,73.3634848845513
E07000098,2023-24,73.42450303115749
E07000098,2024-25,72.59220980556812
E07000098,2025-26,65.88650784149408
E07000098,2026-27,67.63633005494759
E07000099,2022-23,88.73268662136225
E07000099,2023-24,89.98105163429655
E07000099,2024-25,88.3401980545088
E07000099,2025-26,86.21349928195309
E07000099,2026-27,85.95840605002908
E07000102,2022-23,90.80406654343808
E07000102,2023-24,89.77213298468435
E07000102,2024-25,86.3728764338609
E07000102,2025-26,83.81226680631013
E07000102,2026-27,83.9662955160999
E07000103,2022-23,93.09380909315136
E07000103,2023-24,93.47734011012282
E07000103,2024-25,85.84043012440642
E07000103,2025-26,82.37697375685524
E07000103,2026-27,79.89027496571093
E07000105,2022-23,82.02995924661306
E07000105,2023-24,84.4025498440255
E07000105,2024-25,81.86302409409979
E07000105,2025-26,74.67067974827033
E07000105,2026-27,71.67873319305254
E07000106,2022-23,70.38195741501681
E07000106,2023-24,78.22642967542504
E07000106,2024-25,70.76177097022703
E07000106,2025-26,68.68532654792197
E07000106,2026-27,74.01660628987273
E07000107,2022-23,81.21957888980039
E07000107,2023-24,79.58419421487604
E07000107,2024-25,80.21995043370508
E07000107,2025-26,72.98769347443897
E07000107,2026-27,73.28856434998045
E07000108,2022-23,94.53174388151359
E07000108,2023-24,85.78091807518241
E07000108,2024-25,85.84664838801173
E07000108,2025-26,84.24701138855485
E07000108,2026-27,84.26893792747451
E07000109,2022-23,74.26481240040562
E07000109,2023-24,68.64061376168785
E07000109,2024-25,44.09153005464481
E07000109,2025-26,45.521930557877724
E07000109,2026-27,47.19790777113578
E07000110,2022-23,77.07621326042378
E07000110,2023-24,77.96680812367384
E07000110,2024-25,77.38562571082657
E07000110,2025-26,81.41086749285033
E07000110,2026-27,75.06856829402085
E07000111,2022-23,81.60098128099834
E07000111,2023-24,83.84987644151565
E07000111,2024-25,83.20011626217119
E07000111,2025-26,81.46328146328146
E07000111,2026-27,85.3493013972056
E07000112,2022-23,87.6258234519104
E07000112,2023-24,89.75161167993933
E07000112,2024-25,84.75715830551506
E07000112,2025-26,86.8085292318448
E07000112,2026-27,84.99496112870717
E07000113,2022-23,76.95626360577874
E07000113,2023-24,75.19949287791782
E07000113,2024-25,77.9702884180496
E07000113,2025-26,77.17817702324048
E07000113,2026-27,79.44076854561649
E07000114,2022-23,75.8381153729991
E07000114,2023-24,78.17847608210425
E07000114,2024-25,79.83347666327887
E07000114,2025-26,101.20569634651258
E07000114,2026-27,82.09699876237623
E07000115,2022-23,81.82328505669697
E07000115,2023-24,83.57225881441302
E07000115,2024-25,83.49398146013006
E07000115,2025-26,80.02308956085432
E07000115,2026-27,78.47575488869184
E07000116,2022-23,83.8375743004074
E07000116,2023-24,83.3729357253178
E07000116,2024-25,84.44028322312599
E07000116,2025-26,83.09788374560277
E07000116,2026-27,83.18727323471951
E07000117,2022-23,90.42683365723745
E07000117,2023-24,88.4164010431759
E07000117,2024-25,87.75577996279564
E07000117,2025-26,87.04846891999267
E07000117,2026-27,87.02307781514554
E07000118,2022-23,93.69922212618842
E07000118,2023-24,94.7886913436316
E07000118,2024-25,95.34196773460577
E07000118,2025-26,93.09312638580931
E07000118,2026-27,93.488419341731
E07000119,2022-23,90.04649035896654
E07000119,2023-24,49.87283345892992
E07000119,2024-25,93.0620319344355
E07000119,2025-26,88.44889206576126
E07000119,2026-27,84.78655462184874
E07000120,2022-23,89.00477284779919
E07000120,2023-24,92.44777718264595
E07000120,2024-25,91.01407680743475
E07000120,2025-26,88.56287776538936
E07000120,2026-27,87.56210573326635
E07000121,2022-23,85.91461063993832
E07000121,2023-24,81.51340170645523
E07000121,2024-25,80.32786885245902
E07000121,2025-26,80.77271355267129
E07000121,2026-27,82.07944682536824
E07000122,2022-23,92.48368356881589
E07000122,2023-24,
E07000122,2024-25,90.92885989437714
E07000122,2025-26,89.03599266391564
E07000122,2026-27,90.7464846980976
E07000123,2022-23,
E07000123,2023-24,86.68231557872208
E07000123,2024-25,84.94116922318733
E07000123,2025-26,76.61269814359584
E07000123,2026-27,81.34412404075326
E07000124,2022-23,92.36191356598106
E07000124,2023-24,92.01119925338311
E07000124,2024-25,92.70767279644896
E07000124,2025-26,92.72530836409472
E07000124,2026-27,92.89499834382245
E07000125,2022-23,78.56272838002437
E07000125,2023-24,84.59401049706699
E07000125,2024-25,80.02300613496932
E07000125,2025-26,83.48520350603141
E07000125,2026-27,82.36341619773488
E07000126,2022-23,91.49360252041407
E07000126,2023-24,90.41672144077823
E07000126,2024-25,88.8733285146368
E07000126,2025-26,89.88541207580433
E07000126,2026-27,87.71686328938237
E07000127,2022-23,93.21685508735868
E07000127,2023-24,32.504564493609706
E07000127,2024-25,27.53392528061652
E07000127,2025-26,44.40703144342659
E07000127,2026-27,50.91555789751021
E07000128,2022-23,93.87298747763865
E07000128,2023-24,93.1334784793167
E07000128,2024-25,92.15157848421516
E07000128,2025-26,93.32885067960233
E07000128,2026-27,94.17374160061159
E07000129,2022-23,81.13223418573351
E07000129,2023-24,83.16129032258064
E07000129,2024-25,82.63834762275916
E07000129,2025-26,85.30283276045988
E07000129,2026-27,76.4819345126082
E07000130,2022-23,86.05052904340316
E07000130,2023-24,82.09072431633408
E07000130,2024-25,84.68016406318178
E07000130,2025-26,79.45270212217544
E07000130,2026-27,80.44705700363524
E07000131,2022-23,87.93539938891314
E07000131,2023-24,90.23569023569024
E07000131,2024-25,91.08021653543307
E07000131,2025-26,89.85370195249486
