rank,name,party,constituency,total_speeches,immigration_speeches,hardline_mentions,pro_mentions,immigration_speech_proportion,stance_balance,immigration_attitude_score,attitude_band
214,Judith Cummins,Labour,Bradford South,137,1,42,59,0.0072992700729927005,-0.16831683168316833,46.9,Mixed / unclear
215,John Hayes,Conservative,South Holland and The Deepings,632,28,112,219,0.04430379746835443,-0.32326283987915405,46.9,Mixed / unclear
216,Taiwo Owatemi,Labour,Coventry North West,66,3,51,101,0.045454545454545456,-0.32894736842105265,46.8,Mixed / unclear
217,Darren Jones,Labour,Bristol North West,96,5,49,103,0.052083333333333336,-0.35526315789473684,46.8,Mixed / unclear
218,Clive Betts,Labour,Sheffield South East,343,3,84,125,0.008746355685131196,-0.19617224880382775,46.2,Mixed / unclear
219,Gerald Jones,Labour,Merthyr Tydfil and Aberdare,169,3,42,68,0.01775147928994083,-0.23636363636363636,46.1,Mixed / unclear
220,Kit Malthouse,Conservative,North West Hampshire,702,6,135,201,0.008547008547008548,-0.19642857142857142,46.1,Mixed / unclear
221,Liz Twist,Labour,Blaydon and Consett,306,7,69,121,0.02287581699346405,-0.2736842105263158,45.9,Mixed / unclear
222,Stephen Timms,Labour,East Ham,434,23,107,242,0.052995391705069124,-0.3868194842406877,45.7,Mixed / unclear
223,Kemi Badenoch,Conservative,North West Essex,400,25,53,132,0.0625,-0.42702702702702705,45.7,Mixed / unclear
224,Andrew Murrison,Conservative,South West Wiltshire,547,36,95,245,0.06581352833638025,-0.4411764705882353,45.5,Mixed / unclear
225,Debbie Abrahams,Labour,Oldham East and Saddleworth,397,7,152,258,0.017632241813602016,-0.25853658536585367,45.3,Mixed / unclear
226,Jim Shannon,Democratic Unionist Party,Strangford,1763,79,452,988,0.04480998298355077,-0.37222222222222223,45.2,Mixed / unclear
227,Alicia Kearns,Conservative,Rutland and Stamford,75,3,26,57,0.04,-0.37349397590361444,44.7,Mixed / unclear
228,Ben Lake,Plaid Cymru,Ceredigion Preseli,183,11,28,73,0.060109289617486336,-0.44554455445544555,44.6,Mixed / unclear
229,Daniel Zeichner,Labour,Cambridge,321,19,73,190,0.059190031152647975,-0.4448669201520912,44.5,Mixed / unclear
230,Chris Law,Scottish National Party,Dundee Central,180,21,62,217,0.11666666666666667,-0.5555555555555556,44.4,Mixed / unclear
231,Jesse Norman,Conservative,Hereford and South Herefordshire,714,19,135,269,0.02661064425770308,-0.3316831683168317,44.3,Mixed / unclear
232,Grahame Morris,Labour,Easington,256,3,53,92,0.01171875,-0.2689655172413793,44.0,Mixed / unclear
233,Gavin Williamson,Conservative,"Stone, Great Wyrley and Penkridge",1477,14,190,324,0.009478672985781991,-0.2607003891050584,44.0,Mixed / unclear
234,Peter Swallow,Labour,Bracknell,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
235,Peter Prinsley,Labour,Bury St Edmunds and Stowmarket,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
236,Jacob Collier,Labour,Burton and Uttoxeter,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
237,Oliver Ryan,Labour and Co-operative,Burnley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
238,Callum Anderson,Labour,Buckingham and Bletchley,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
239,Juliet Campbell,Labour,Broxtowe,0,0,0,0,0.0,0.0,43.8,Mixed / unclear
