ward_code,ward_name,ward_name_welsh,council,area_sq_km,canvassing_events,events_per_sq_km,has_canvassing_event,rank_by_events_per_sq_km,rank_by_events
W05001057,Mynydd-bach,Mynydd-bach,Swansea,3.5531913153800962,2,0.5628742790580793,True,183,192
W05001726,Coedpoeth,Coed-poeth,Wrexham,5.385210346138001,3,0.5570813036395965,True,184,126
W05001063,Pontlliw and Tircoed,Pont-lliw a Thir-coed,Swansea,5.4525364990730285,3,0.5502026443124264,True,185,126
W05001444,Goodwick,Wdig,Pembrokeshire,3.6579321857414246,2,0.5467569923236892,True,186,192
W05001357,St Asaph East,Dwyrain Llanelwy,Denbighshire,3.6835290247192383,2,0.5429575786096709,True,187,192
W05001242,Maesteg East,Dwyrain Maesteg,Bridgend,5.546462794525146,3,0.5408852652831762,True,188,126
W05001592,Hawarden: Aston,Penarlâg: Aston,Flintshire,3.703372946220398,2,0.5400482287481112,True,189,192
W05001446,Haverfordwest: Garth,Hwlffordd: Garth,Pembrokeshire,1.8619023528594971,1,0.5370850938902391,True,190,289
W05001281,Lisvane and Thornhill,Llys-faen a'r Ddraenen,Cardiff,9.424439182979583,5,0.530535547306617,True,191,70
W05001049,Gowerton,Tregŵyr,Swansea,7.614890607807159,4,0.5252866004271951,True,192,98
W05001301,Aberystwyth Penparcau,Aberystwyth Penparcau,Ceredigion,1.9178749028244018,1,0.5214104415920597,True,193,289
W05001725,Chirk South,De'r Waun,Wrexham,13.523152823478698,7,0.5176307693459401,True,194,48
W05001588,Flint: Coleshill and Trelawny,Y Fflint: Cynswllt a Threlawny,Flintshire,9.729574095474243,5,0.5138971090549352,True,195,70
W05001345,Prestatyn East,Dwyrain Prestatyn,Denbighshire,5.865194670204162,3,0.5114919740414299,True,196,126
W05001386,Dinas Powys,Dinas Powys,Vale of Glamorgan,19.643863860183714,10,0.5090648189773433,True,197,30
W05001449,Haverfordwest: Priory,Hwlffordd: Y Priordy,Pembrokeshire,1.995421865322113,1,0.5011471595950333,True,198,289
W05001246,Nottage,Notais,Bridgend,4.032327804210663,2,0.4959914216080219,True,199,192
W05001586,Connah's Quay: Wepre,Cei Connah: Gwepra,Flintshire,4.062543121307373,2,0.4923024667751409,True,200,192
W05001649,Aberbargoed and Bargoed,Aberbargod a Bargod,Caerphilly,6.131728485919952,3,0.48925845410291446,True,201,126
W05001621,Park,Y Parc,Merthyr Tydfil,2.0603502510490417,1,0.4853543709332154,True,202,289
W05001084,Glyn-coch,Glyn-coch,Rhondda Cynon Taf,2.064426013595581,1,0.48439614372922685,True,203,289
W05001689,Cadoxton,Llangatwg,Neath Port Talbot,4.140800021270752,2,0.4829984519238456,True,204,192
W05001678,Ystrad Mynach,Ystrad Mynach,Caerphilly,6.277926835636139,3,0.4778647599030217,True,205,126
W05001097,Pontyclun Central,Canol Pont-y-clun,Rhondda Cynon Taf,2.102840682674408,1,0.47554720062206174,True,206,289
W05001264,Georgetown,Georgetown,Blaenau Gwent,4.2255441563797,2,0.47331182114862363,True,207,192
W05001257,Beaufort,Cendl,Blaenau Gwent,4.357495669578552,2,0.45897922835880545,True,208,192
W05001052,Llansamlet,Llansamlet,Swansea,16.212403384757994,7,0.43176818599153616,True,209,48
W05001712,Trebanos,Trebanos,Neath Port Talbot,2.332571246810913,1,0.4287114493789624,True,210,289
W05001366,Greenmeadow,Greenmeadow,Torfaen,2.343311111228943,1,0.42674657889346707,True,211,289
W05001235,"Bryntirion, Laleston and Merthyr Mawr","Bryntirion, Trelales a Merthyr Mawr",Bridgend,23.47507241088867,10,0.42598377653402264,True,212,30
W05001100,Pontypridd Town,Tref Pontypridd,Rhondda Cynon Taf,2.3508518696403504,1,0.42537771644156674,True,213,289
W05001428,Rhiw,Rhiw,Conwy,4.70994978666687,2,0.4246329771204115,True,214,192
W05001585,Connah's Quay South,De Cei Connah,Flintshire,2.3625605403518675,1,0.42326957676651333,True,215,289
W05001085,Graig and Pontypridd West,Y Graig a Gorllewin Pontypridd,Rhondda Cynon Taf,12.201705197463989,5,0.4097787906758478,True,216,70
W05001228,Aberkenfig,Abercynffig,Bridgend,12.2773858922081,5,0.40725281781468425,True,217,70
W05001262,Ebbw Vale North,Gogledd Glynebwy,Blaenau Gwent,2.4637676598739624,1,0.4058824280740646,True,218,289
W05001053,Llwchwr,Llwchwr,Swansea,7.40246206313324,3,0.40527056733475375,True,219,126
W05001260,Cwm,Cwm,Blaenau Gwent,9.985696554450989,4,0.4005729573483839,True,220,98
W05001368,Llantarnam,Llantarnam,Torfaen,7.788099807395935,3,0.3852030757426944,True,221,126
W05001300,Aberystwyth Morfa a Glais,Aberystwyth Morfa a Glais,Ceredigion,2.609439070388794,1,0.3832241232791095,True,222,289
W05001249,Pencoed and Penprysg,Pencoed a Phen-prysg,Bridgend,24.006418794223784,9,0.3748997331565965,True,223,33
W05001081,Cymer,Cymer,Rhondda Cynon Taf,5.454521676937103,2,0.36666826505730693,True,224,192
W05001700,Gwaun-Cae-Gurwen and Lower Brynamman,Gwauncaegurwen a Brynaman Isaf,Neath Port Talbot,13.657947532470702,5,0.36608721684666684,True,225,70
W05001595,Higher Kinnerton,Kinnerton Uchaf,Flintshire,8.20441651007843,3,0.36565671627162694,True,226,126
W05001723,Cefn West,Gorllewin Cefn,Wrexham,5.4763530636138915,2,0.3652065483667306,True,227,192
W05001367,Llanfrechfa and Ponthir,Llanfrechfa a Phont-hir,Torfaen,5.487278158584595,2,0.36447942717667625,True,228,192
W05001358,St Asaph West,Gorllewin Llanelwy,Denbighshire,2.7678133621139525,1,0.36129603740197186,True,229,289
W05001782,Magor East with Undy,Dwyrain Magwyr gyda Gwndy,Monmouthshire,5.63991221401596,2,0.35461544862874356,True,230,192
W05001259,Brynmawr,Bryn-mawr,Blaenau Gwent,5.655211977027893,2,0.3536560624295296,True,231,192
W05001685,Briton Ferry West,Gorllewin Llansawel,Neath Port Talbot,2.832155467979431,1,0.3530879612034288,True,232,289
W05001731,Gresford East and West,Dwyrain a Gorllewin Gresffordd,Wrexham,5.691326279190063,2,0.3514119384286331,True,233,192
W05001584,Connah's Quay: Golftyn,Cei Connah: Golftyn,Flintshire,8.586399798042297,3,0.34938974081826485,True,234,126
W05001409,Craig-y-don,Craig-y-don,Conwy,2.895093894203186,1,0.34541194052541396,True,235,289
W05001043,Cockett,Y Cocyd,Swansea,5.80966118549347,2,0.34425415461299763,True,236,192
W05001669,Penyrheol,Penyrheol,Caerphilly,5.849667249782562,2,0.3418997892699524,True,237,192
W05001682,Baglan,Baglan,Neath Port Talbot,9.005521427894593,3,0.33312896138445725,True,238,126
W05001654,Cefn Fforest and Pengam,Cefn Fforest a Phengam,Caerphilly,3.021636498523712,1,0.3309464922364329,True,239,289
W05001408,Conwy,Conwy,Conwy,6.0450992826080325,2,0.3308465099579211,True,240,192
W05001072,Abercynon,Abercynon,Rhondda Cynon Taf,9.153843025859834,3,0.32773120442691944,True,241,126
W05001676,Van,Y Fan,Caerphilly,3.084383220741272,1,0.32421392817707956,True,242,289
W05001703,Neath East,Dwyrain Castell-nedd,Neath Port Talbot,3.117859180416107,1,0.3207328946352673,True,243,289
W05001310,Llanbadarn Fawr,Llanbadarn Fawr,Ceredigion,3.128395399681091,1,0.31965268843635947,True,244,289
W05001307,Faenor,Faenor,Ceredigion,6.325675423049927,2,0.31617177079814496,True,245,192
W05001263,Ebbw Vale South,De Glynebwy,Blaenau Gwent,6.442409530475617,2,0.3104428538016813,True,246,192
W05001250,Pen-y-fai,Pen-y-fai,Bridgend,3.225926798374176,1,0.30998843510769886,True,247,289
W05001349,Rhuddlan,Rhuddlan,Denbighshire,9.765133116485595,3,0.30721547409685285,True,248,126
W05001466,Milford: North,Gogledd Aberdaugleddau,Pembrokeshire,3.354451361499786,1,0.29811134287930074,True,249,289
W05001576,Buckley: Bistre East,Bwcle: Bwyrain Bistre,Flintshire,3.3707013436279296,1,0.29667416304634303,True,250,289
W05001461,Merlin's Bridge,Pont Fadlen,Pembrokeshire,6.751649540092468,2,0.2962239061911689,True,251,192
